NOMBRE,CATEGORIA_TIPOLOGIA,DOMICILIO,LATITUD,LONGITUD
CONSULTORIO DE ESTETICA DENTAL,Con atención médica general por lo menos 3 días de la semana,Monseñor Fagnano Nº 343,-54.80592,-68.32151
CENTRO MEDICO BASE BELGRANO 2,Con atención médica diaria y con especialidades y/o otras profesiones,Base Conjunta Belgrano 2,-77.85,-34.55
CENTRO MEDICO BASE SAN MARTIN,Con atención médica diaria y con especialidades y/o otras profesiones,Base Antartica Conjunta San Martin,-68.13,-67.10222222
CENTRO MEDICO BASE MARAMBIO,Con atención médica diaria y con especialidades y/o otras profesiones,Base Conjunta Marambio,-64.2444444,-56.65666666
CENTRO MEDICO BASE PETREL,Con atención médica diaria y con especialidades y/o otras profesiones,Base Antartica Conjunta Petrel,-63.4666667,-56.28333333
CENTRO MEDICO BASE ESPERANZA,Con atención médica diaria y con especialidades y/o otras profesiones,Base Antartica Esperanza,-63.3977778,-56.99638889
CENTRO  MEDICO BASE ORCADAS,Con atención médica diaria y con especialidades y/o otras profesiones,"Isla Laurie, Orcadas del Sur",-60.7166667,-44.73333333
NATIVUS S.R.L- NATIVUS SALUD,Internación Domiciliaria,DEL TOLKEYEN Nº 1390,-54.8340275,-68.3490078
CENTRO DE SALUD N°8 USHUAIA - EVA DUARTE DE PERON,Con atención médica diaria y con especialidades y/o otras profesiones,Río Claro 1251,-54.833696735086725,-68.36668274603618
CENTRO MEDICO SAN FRANCISCO,Con atención médica diaria y con especialidades y/o otras profesiones,DEL TOLKEYEN N° 1190,-54.8335009,-68.34653449999996
CENTRO MEDICO USHUAIA,Con atención médica diaria y con especialidades y/o otras profesiones,DE LA ESTANCIA 1925,-54.831184,-68.36265379999998
CONSULTORIOS DE LAS ESTRELLAS,Con atención médica diaria y con especialidades y/o otras profesiones,DE LAS ESTRELLAS N° 2040,-54.8297,-68.34821
CONSULTORIOS BIOSUR,Con atención médica diaria y con especialidades y/o otras profesiones,Hipolito yrigoyen N° 1792,-54.82910569324666,-68.34524178855452
CONSULTORIO MEDICO MARIA FOSSATI GARCIA,Con atención médica general por lo menos 3 días de la semana,PASEO DE LA PLAZA N° 2025,-54.8285744,-68.34974979999998
CENTRO DE SALUD N°5 USHUAIA,Con atención médica diaria y con especialidades y/o otras profesiones,INDEPENDENCIA 1089,-54.827708670013216,-68.33714016185105
ODIN ODONTOLOGIA INTEGRAL,Con atención médica diaria y con especialidades y/o otras profesiones,Kuanip Nº 2011,-54.82185110761416,-68.35007894551998
CENTRO DE SALUD N°4 USHUAIA,Con atención médica diaria y con especialidades y/o otras profesiones,AVENIDA LEANDRO N. ALEM 3908,-54.82107366522107,-68.35141605782556
CENTRO INTEGRAL DE KINESIOLOGIA Y REHABILITACION USHUAIA - CIKRU,Con atención médica diaria y con especialidades y/o otras profesiones,GUARDACOSTA RIO IGUAZU N° 738,-54.8207961,-68.33420569999998
EYS (ESTETICA SALUD),Con atención médica diaria y con especialidades y/o otras profesiones,Ruiz Galán N° 561,-54.82006104538579,-68.33086803088419
CONSULTORIO ODONTOLOGICO PATRICIA GOMEZ ACOTTO,Sin atención médica en forma periódica (menor a 3 veces por semana),RUIZ GALAN N°527,-54.81996413642264,-68.33020578858509
"CENTRO INTEGRAL DE KINESIOLOGIA Y REHABILITACION USHUAIA,ANEXO",Centro Rehabilitación motora,Fuegia Basket 349,-54.8190074,-68.3270093
CENTRO MEDICO CAISA,Con atención médica diaria y con especialidades y/o otras profesiones,DAMIANA FRANCIA FIQUE 51,-54.81878010000001,-68.32950119999998
CONSULTORIOS EXTERNOS EDIFICIO ANEXO DAMIANA FIQUE,Con atención médica diaria y con especialidades y/o otras profesiones,DAMIANA FRANCIA FIQUE  51,-54.81878010000001,-68.32950119999998
GLOBAL CARE MEDICINA DOMICILIARIA,Internación Domiciliaria,PUERTO ESPAÑOL Nº 635,-54.81874939999999,-68.3333655
CONSULTORIO OFTALMOLOGICO SUR,Con atención médica diaria y con especialidades y/o otras profesiones,PUERTO ESPAÑOL N° 631,-54.8186972,-68.33329859999998
CONSULTORIO MEDICO SONIA MILSTAIN,Con atención médica diaria y con especialidades y/o otras profesiones,Miguel Torelli 749,-54.8183856,-68.33566689999998
CENTRO MEDICO FUEGUINO,Con atención médica diaria y con especialidades y/o otras profesiones,BELAKAMIAN 424,-54.818347,-68.3285472
CENTRO DE SALUD N°2 USHUAIA,Con atención médica diaria y con especialidades y/o otras profesiones,KUANIP 945,-54.81813343663304,-68.33901770181028
ASOCIACION CIVIL REENCONTRANDONOS,Bajo riesgo con internación simple,Bahía Agradable 1253,-54.8180067,-68.33721020000002
CONSULTORIOS ODONTOLOGICOS I.S.S.T,Con atención médica general por lo menos 3 días de la semana,KARUKINKA 87,-54.8178715,-68.32517180000002
POLICONSULTORIOS CENTRO INTEGRADOR DE POLITICAS SOCIALES,Con atención médica diaria y con especialidades y/o otras profesiones,KUANIP N° 841,-54.817864584367314,-68.3372259073596
CONSULTORIO ODONTOLOGICO INTEGRAL,Con atención médica diaria y con especialidades y/o otras profesiones,Kupanaka 74 - Ushuaia - Tierra del Fuego,-54.81777,-68.32708
OPTICA Y CONTACTOLOGIA SOCIAL KUANIP,Óptica,KUANIP N° 564,-54.8172978,-68.3324407
OPTICA JARVIS,Óptica,KUANIP N° 282,-54.816450843901684,-68.32681257370345
CENTRO DE SALUD VARESE,Con atención médica diaria y con especialidades y/o otras profesiones,12 DE OCTUBRE Nº 1343,-54.816326,-68.34538289999999
CENTRO MEDICO EVA PERON,Con atención médica diaria y con especialidades y/o otras profesiones,Kuanip N 225,-54.81631036606522,-68.32617698695702
CONSULTORIO MEDICO LORENZ MARIO,Con atención médica diaria y con especialidades y/o otras profesiones,KARUKINKA N° 258,-54.81622290000001,-68.3259276
UNIDAD DE DIAGNOSTICO POR IMAGENES - UOMRA,Diagnostico por Imágenes,KUANIP N° 225,-54.8161728,-68.3263263
CONSULTORIO DE KINESIOLOGIA Y GIMNASIO DE KINEFILAXIA UOM,Otros,KUANIP Nº 225,-54.8161728,-68.32632629999999
OPTICA LUTZ FERRANDO,Óptica,KUANIP N° 106,-54.8160679,-68.32423619999997
CENTRO MEDICO AIRE,Con atención médica diaria y con especialidades y/o otras profesiones,JAINEN N° 178 SB LOCAL A,-54.81593892674111,-68.3255543141253
CENTRO DE NEFROLOGIA Y HEMODIALISIS USHUAIA (CENHEUS),Centro de Diálisis,KUANIP N° 49,-54.8159338,-68.3234986
BANCO DE SANGRE INTRAHOSPITALARIO,Otros,JAINEN N° 205,-54.81570079999999,-68.32597950000002
CONSULTORIOS EXTERNOS ANEXOS SANATORIO SAN JORGE,Con atención médica diaria y con especialidades y/o otras profesiones,Jainen N° 133,-54.8155164,-68.32480290000001
CLINICA SAN JORGE,Alto riesgo con terapia intensiva,ONACHAGA 184,-54.815326,-68.32603410000002
OPTICA Y CONTACTOLOGIA PUPILENT,Óptica,Jainen 51,-54.81532499999999,-68.32340520000002
CENTRO DE PEDIATRIA SANATORIO SAN JORGE,Con atención médica diaria y con especialidades y/o otras profesiones,ONACHANGA 136,-54.8151865,-68.32511979999998
CENTRO MEDICO LUCHA CONTRA EL CANCER USHUAIA,Con atención médica diaria y con especialidades y/o otras profesiones,JUAN DOMINGO PERON 680,-54.8151273,-68.33792199999999
CONSULTORIO MEDICO POLIDEPORTIVO MUNICIPAL AUGUSTO LASERRE,Con atención médica diaria y con especialidades y/o otras profesiones,Avenida Malvinas Argentinas 869,-54.81500041277843,-68.32167579771557
CONSULTORIO ODONTOLOGICO DR PALMA,Con atención médica diaria y con especialidades y/o otras profesiones,LAS AGUILAS Nº 1366,-54.8149921,-68.3454642
CONSULTORIO GRUPAL DE ESTIMULACION COGNITIVA,Con atención médica diaria y con especialidades y/o otras profesiones,12 de Octubre Nº 789,-54.81489190251758,-68.337616367535
CONSULTORIO MEDICO Y GABINETE DE PSICOLOGIA,Con atención médica diaria y con especialidades y/o otras profesiones,ARTURO CORONADO Nº 486,-54.81399707803612,-68.33677646260524
UNIDAD SANITARIA MOVIL - MUNICIPALIDAD DE USHUAIA,Unidades de Atención Móviles,ARTURO CORONADO Nº 486 2º PISO,-54.813935254931,-68.3367442760962
HOSPITAL REGIONAL USHUAIA GOBERNADOR ERNESTO M. CAMPOS,Alto riesgo con terapia intensiva,12 de Octubre 65,-54.813727902316494,-68.3202144048744
CONSULTORIO DE REPRODUCCION MEDICAMENTE ASISTIDA DE BAJA COMPLEJIDAD,Con atención médica diaria y con especialidades y/o otras profesiones,12 DE OCTUBRE 65,-54.813653714084744,-68.32355107297877
LABORATORIO DE SALUD PUBLICA DE TIERRA DEL FUEGO,Laboratorio de Análisis Clínicos,12 DE OCTUBRE N.°65,-54.813653714084744,-68.32355107297877
CONSULTORIO MEDICO CELINA GIORDA,Sin atención médica en forma periódica (menor a 3 veces por semana),LOS CASTORES N° 1312,-54.8123977,-68.34496430000002
CONSULTORIOS DE UROLOGIA USHUAIA,Con atención médica diaria y con especialidades y/o otras profesiones,ALFONSINA STORNI N° 2067 2º P DPTO 5 Y 6,-54.8120538,-68.32798919999999
EQUIPO INTERDICIPLINARIO DE TRASTORNOS DEL APRENDIZAJE Y CONDUCTA,Con atención médica general por lo menos 3 días de la semana,"GOLETA FLORENCIA Nº 521, PB, Nº 08",-54.81087537966006,-68.32316994667053
LABORATORIO DE ANALISIS CLINICOS GOBERNADOR PAZ,Laboratorio de Análisis Clínicos,GOBERNADOR PAZ N° 1523,-54.8084291,-68.32032029999999
OPTICA MERCANTIL,Óptica,PERITO MORENO N° 1460- LOCAL N° 137- PASEO DEL FUEGO,-54.8082006,-68.30821739999999
OPTICA  BOUTIQUE,Óptica,San Martín 887,-54.807635471137274,-68.31013441085815
CONSULTORIO MEDICO VALOR SARA,Con atención médica general por lo menos 3 días de la semana,MAGALLANES 1866,-54.8076041,-68.32948750000003
OPTICA SOCIAL- SHOOPING,Óptica,SAN MARTIN Y 9 DE JULIO LOCAL 16 Y 17,-54.80756745500623,-68.30901861190796
GABINETE DE KINESIOLOGIA MOSSE FELIPE,Centro Rehabilitación motora,PATAGONIA 357,-54.8075122,-68.3185881
CONSULTORIO MEDICO ANA MARIA ZINGONI,Con atención médica diaria y con especialidades y/o otras profesiones,GOBERNADOR FELIX PAZ N° 1251,-54.8074418,-68.31650669999999
OPTICAS DEL SUR,Óptica,SAN MARTIN Nº 1278,-54.80727820000001,-68.31087939999998
SERVICIO DE KINESIOLOGIA Y FISIOTERAPIA HRU,Otros,Juan Manuel de Rosas N° 187,-54.80714522845404,-68.31083398229634
OPTICA IPAUSS,Óptica,Alfonsina Storni 2147-1º piso,-54.80696767143981,-68.30740928649902
CONSULTORIO MONICA COULY,Con atención médica diaria y con especialidades y/o otras profesiones,General Juan Manuel Rosas 246,-54.8066726,-68.31142920000002
CONSULTORIOS ASOCIACION BANCARIA,Con atención médica diaria y con especialidades y/o otras profesiones,Gobernador Godoy Nº 36 - 1º Piso,-54.8064111632611,-68.30219507217407
CENTRO DE SALUD N°7 USHUAIA,Con atención médica diaria y con especialidades y/o otras profesiones,LEANDRO N. ALEM Nº 2008,-54.806349189192,-68.33132236461292
VITALGYM,Otros,"GOBERNADOR GODOY N° 36, 2° PISO, DEPTO N° 10",-54.80628345281286,-68.30243124486847
INSTITUTO DE DIAGNOSTICO Y TRATAMIENTO ODONTOLOGICO,Sin atención médica en forma periódica (menor a 3 veces por semana),DELOQUI 532,-54.8058042,-68.30603250000001
CENTRO DE SALUD N°3 USHUAIA,Con atención médica diaria y con especialidades y/o otras profesiones,Gob. Manuel Fernández Valdez 894,-54.80534759297693,-68.32030534744263
POLICONSULTORIO CHERRYSKIN,Sin atención médica en forma periódica (menor a 3 veces por semana),Pres. Bernardino Rivadavia N° 130 PISO 3 OF 304,-54.8052907,-68.3013383
PREFECTURA NAVAL ARGENTINA,Sin atención médica en forma periódica (menor a 3 veces por semana),Yaganes 59,-54.80506686487975,-68.29828533185703
SIPREM,Con atención médica diaria y con especialidades y/o otras profesiones,ANTÁRTIDA ARGENTINA 157,-54.8046275,-68.29995730000002
CENTRO AKAINIK,Sin atención médica en forma periódica (menor a 3 veces por semana),MAGALLANES 825,-54.8044229,-68.31186059999999
DENTAL CONSULTORIOS,Con atención médica diaria y con especialidades y/o otras profesiones,GOBERNADOR PAZ Nº 317 1º B,-54.8042259,-68.304036
CONSULTORIOS ODONTOLOGICOS DRA LUNA,Con atención médica diaria y con especialidades y/o otras profesiones,JUAN DIAZ DE SOLIS 840,-54.8033372,-68.31260609999998
HOSPITAL NAVAL USHUAIA.,Mediano riesgo con internación con cuidados especiales,Gobernador PAZ  y  YAGANES,-54.80281024457959,-68.29930914720256
CENTRO MEDICO-ODONTOLOGICO BOUCHARD,Con atención médica diaria y con especialidades y/o otras profesiones,BOUCHARD Nº 340,-54.80176909999999,-68.30588970000002
CONSULTORIO MEDICO MUNICIPALIDAD DE USHUAIA,Con atención médica general por lo menos 3 días de la semana,VITO DUMAS N° 220,-54.79476963726878,-68.27029930494159
CONSULTORIO MEDICO NEW SAN S.A.,Con atención médica diaria y con especialidades y/o otras profesiones,PERITO FRANCISCO MORENO N° 3875,-54.79373099999999,-68.26109650000001
CENTRO DE SALUD N°6 USHUAIA,Con atención médica diaria y con especialidades y/o otras profesiones,PIONERO FUEGUINO 4373,-54.793556035087654,-68.23269536069434
