NOMBRE,LATITUD,LONGITUD
CONSULTORIO DE ESTETICA DENTAL,-54.80592,-68.32151
CENTRO ODONTOLOGICO ALARKEN,,
NATIVUS S.R.L- NATIVUS SALUD,-54.8340275,-68.3490078
CENTRO MEDICO SAN FRANCISCO,-54.8335009,-68.34653449999996
CENTRO MEDICO USHUAIA,-54.831184,-68.36265379999998
CONSULTORIOS DE LAS ESTRELLAS,-54.8297,-68.34821
CONSULTORIOS BIOSUR,-54.82910569324666,-68.34524178855452
CONSULTORIO MEDICO MARIA FOSSATI GARCIA,-54.8285744,-68.34974979999998
ODIN ODONTOLOGIA INTEGRAL,-54.82185110761416,-68.35007894551998
CENTRO INTEGRAL DE KINESIOLOGIA Y REHABILITACION USHUAIA - CIKRU,-54.8207961,-68.33420569999998
EYS (ESTETICA SALUD),-54.82006104538579,-68.33086803088419
CONSULTORIO ODONTOLOGICO PATRICIA GOMEZ ACOTTO,-54.81996413642264,-68.33020578858509
"CENTRO INTEGRAL DE KINESIOLOGIA Y REHABILITACION USHUAIA,ANEXO",-54.8190074,-68.3270093
CENTRO MEDICO CAISA,-54.81878010000001,-68.32950119999998
CONSULTORIOS EXTERNOS EDIFICIO ANEXO DAMIANA FIQUE,-54.81878010000001,-68.32950119999998
GLOBAL CARE MEDICINA DOMICILIARIA,-54.81874939999999,-68.3333655
CONSULTORIO OFTALMOLOGICO SUR,-54.8186972,-68.33329859999998
CONSULTORIO MEDICO SONIA MILSTAIN,-54.8183856,-68.33566689999998
CENTRO MEDICO FUEGUINO,-54.818347,-68.3285472
ASOCIACION CIVIL REENCONTRANDONOS,-54.8180067,-68.33721020000002
CONSULTORIOS ODONTOLOGICOS I.S.S.T,-54.8178715,-68.32517180000002
CONSULTORIO ODONTOLOGICO INTEGRAL,-54.81777,-68.32708
OPTICA Y CONTACTOLOGIA SOCIAL KUANIP,-54.8172978,-68.3324407
OPTICA JARVIS,-54.816450843901684,-68.32681257370345
CENTRO DE SALUD VARESE,-54.816326,-68.34538289999999
CENTRO MEDICO EVA PERON,-54.81631036606522,-68.32617698695702
CONSULTORIO MEDICO LORENZ MARIO,-54.81622290000001,-68.3259276
UNIDAD DE DIAGNOSTICO POR IMAGENES - UOMRA,-54.8161728,-68.3263263
CONSULTORIO DE KINESIOLOGIA Y GIMNASIO DE KINEFILAXIA UOM,-54.8161728,-68.32632629999999
OPTICA LUTZ FERRANDO,-54.8160679,-68.32423619999997
CENTRO MEDICO AIRE,-54.81593892674111,-68.3255543141253
CENTRO DE NEFROLOGIA Y HEMODIALISIS USHUAIA (CENHEUS),-54.8159338,-68.3234986
BANCO DE SANGRE INTRAHOSPITALARIO,-54.81570079999999,-68.32597950000002
CONSULTORIOS EXTERNOS ANEXOS SANATORIO SAN JORGE,-54.8155164,-68.32480290000001
CLINICA SAN JORGE,-54.815326,-68.32603410000002
OPTICA Y CONTACTOLOGIA PUPILENT,-54.81532499999999,-68.32340520000002
CENTRO DE PEDIATRIA SANATORIO SAN JORGE,-54.8151865,-68.32511979999998
CENTRO MEDICO LUCHA CONTRA EL CANCER USHUAIA,-54.8151273,-68.33792199999999
CONSULTORIO ODONTOLOGICO DR PALMA,-54.8149921,-68.3454642
CONSULTORIO MEDICO CELINA GIORDA,-54.8123977,-68.34496430000002
CONSULTORIOS DE UROLOGIA USHUAIA,-54.8120538,-68.32798919999999
EQUIPO INTERDICIPLINARIO DE TRASTORNOS DEL APRENDIZAJE Y CONDUCTA,-54.81087537966006,-68.32316994667053
LABORATORIO DE ANALISIS CLINICOS GOBERNADOR PAZ,-54.8084291,-68.32032029999999
OPTICA MERCANTIL,-54.8082006,-68.30821739999999
OPTICA  BOUTIQUE,-54.807635471137274,-68.31013441085815
CONSULTORIO MEDICO VALOR SARA,-54.8076041,-68.32948750000003
OPTICA SOCIAL- SHOOPING,-54.80756745500623,-68.30901861190796
GABINETE DE KINESIOLOGIA MOSSE FELIPE,-54.8075122,-68.3185881
CONSULTORIO MEDICO ANA MARIA ZINGONI,-54.8074418,-68.31650669999999
OPTICAS DEL SUR,-54.80727820000001,-68.31087939999998
OPTICA IPAUSS,-54.80696767143981,-68.30740928649902
CONSULTORIO MONICA COULY,-54.8066726,-68.31142920000002
CONSULTORIOS ASOCIACION BANCARIA,-54.8064111632611,-68.30219507217407
VITALGYM,-54.80628345281286,-68.30243124486847
INSTITUTO DE DIAGNOSTICO Y TRATAMIENTO ODONTOLOGICO,-54.8058042,-68.30603250000001
POLICONSULTORIO CHERRYSKIN,-54.8052907,-68.3013383
SIPREM,-54.8046275,-68.29995730000002
CENTRO AKAINIK,-54.8044229,-68.31186059999999
DENTAL CONSULTORIOS,-54.8042259,-68.304036
CONSULTORIOS ODONTOLOGICOS DRA LUNA,-54.8033372,-68.31260609999998
CENTRO MEDICO-ODONTOLOGICO BOUCHARD,-54.80176909999999,-68.30588970000002
CONSULTORIO MEDICO NEW SAN S.A.,-54.79373099999999,-68.26109650000001
SMILE ODONTOLOGIA,-54.79188528885774,-68.24493884473038
CONSULTORIO ODONTOLOGICO STABILE EDGAR (TOLHUIN),-54.511577,-67.19282199999998
CONSULTORIO ODONTOLOGICO FERNANDEZ MARCOS RUBEN,-54.5107321,-67.19970160000003
CONSULTORIOS ODONTOLOGICOS VARGAS OLIVERA PATRICIA,-54.5107321,-67.19970160000003
CONSULTORIO MEDICO IATEC,-53.804080269642135,-67.73259043693542
CONSULTORIO MEDICO RADIO VICTORIA,-53.80142129999999,-67.72886540000002
CONSULTORIOS ELECTRO FUEGUINA,-53.8013662,-67.74158799999998
CONSULTORIO MEDICO ACSUR SA,-53.79910479999999,-67.73097330000002
CONSULTORIO MEDICO DIGITAL FUEGUINA SA,-53.7990599,-67.73346889999999
CONSULTORIO MEDICO BGH S.A,-53.7987349,-67.74126330000001
CONSULTORIO MEDICO MIRGOR,-53.796147,-67.72935089999999
CONSULTORIO MEDICO CYC,-53.795846,-67.68711300000001
GABINETE DE PSICOLOGIA CYNTHIA ELIZABETH CARABAJAL,-53.79575639999999,-67.69922680000002
CONSULTORIO MEDICO CARRIER FUEGUINA S.A,-53.795153,-67.73669999999998
